date,pump_id,action,component,notes,downtime_hours
2027-01-03,PU-206E,calibrate,alignment,Spacer coupling bolts retorqued to 95 ft-lbf,2
2027-01-03,PU-211K,replace,seal,"API 610 route found axial vibration high, filter added",8
2027-01-04,PU-201A,clean,seal,Lubricant sample sent to Chevron ASTM D4378 panel,12
2027-01-04,PU-207F,repair,motor,Seal flush conductivity matched condensate spec,4
2027-01-06,PU-202B,calibrate,bearing,"Motor IR scan performed, no hot spots",6
2027-01-07,PU-209H,repair,impeller,Bearing housing vibration dropped below 3 mm/s,0
2027-01-07,PU-210J,inspect,bearing,Split bearing shells inspected for wipe marks,2
2027-01-08,PU-203C,repair,bearing,Laser alignment with Fixturlaser XA (within 0.05 mm),4
2027-01-09,PU-204A,inspect,impeller,Impeller wear ring clearance checked with taper gauge,0
2027-01-09,PU-205D,repair,bearing,Bearing housing desiccant breather replaced,12
2027-01-09,PU-208G,calibrate,alignment,Impeller balancing weights verified after shop run,12
2027-01-09,PU-212L,inspect,suction strainer,Seal pot nitrogen header leak repaired,2
2027-01-18,PU-211K,inspect,bearing,Bearing pad thermocouples re-zeroed,6
2027-01-20,PU-201A,repair,alignment,Shaft alignment checked after turbine outage,8
2027-01-21,PU-207F,replace,motor,Motor winding surge test performed post rewind,12
2027-01-23,PU-212L,inspect,suction strainer,Seal pot nitrogen header leak repaired,6
2027-01-24,PU-204A,clean,impeller,Impeller wear ring clearance checked with taper gauge,4
2027-01-26,PU-209H,repair,seal,Impeller vane leading edge blended to remove pitting,0
2027-01-27,PU-203C,inspect,seal,Laser alignment with Fixturlaser XA (within 0.05 mm),8
2027-01-28,PU-202B,inspect,suction strainer,Route vibration per API 610 collected (2.8 mm/s overall),4
2027-01-31,PU-201A,inspect,impeller,Lubricant sample sent to Chevron ASTM D4378 panel,0
2027-01-31,PU-211K,inspect,bearing,Coupling hub fretting cleaned and anti-seize applied,2
2027-02-01,PU-206E,inspect,coupling,Strainer differential reset after catalyst fines flush,12
2027-02-02,PU-208G,inspect,alignment,Lube oil varnish potential measured (MPC=18),0
2027-02-06,PU-212L,calibrate,suction strainer,Motor current signature analysis (no bar defects),0
2027-02-07,PU-205D,repair,bearing,Lubrication checklist signed by Unit 300 operator,6
2027-02-07,PU-210J,inspect,bearing,Split bearing shells inspected for wipe marks,8
2027-02-08,PU-204A,clean,impeller,Oil mist console differential pressure adjusted,12
2027-02-12,PU-207F,inspect,motor,Motor winding surge test performed post rewind,12
2027-02-13,PU-211K,calibrate,coupling,"API 610 route found axial vibration high, filter added",4
2027-02-14,PU-203C,inspect,bearing,Cartridge seal faces dressed and leak-tested,2
2027-02-14,PU-209H,replace,seal,Bearing housing vibration dropped below 3 mm/s,0
2027-02-17,PU-201A,inspect,seal,Impeller clearance reset per OEM tolerance,2
2027-02-20,PU-202B,replace,suction strainer,Bearing oil topped up with ISO 46 VG,2
2027-02-22,PU-211K,replace,alignment,Coupling hub fretting cleaned and anti-seize applied,0
2027-02-22,PU-212L,clean,seal,Seal pot nitrogen header leak repaired,6
2027-02-26,PU-208G,clean,lubricant,Lube oil varnish potential measured (MPC=18),8
2027-02-27,PU-204A,clean,impeller,Motor insulation DAR ratio recorded 1.6 (acceptable),4
2027-02-28,PU-206E,clean,suction strainer,Spacer coupling bolts retorqued to 95 ft-lbf,4
2027-03-03,PU-201A,repair,alignment,Shaft alignment checked after turbine outage,2
2027-03-03,PU-207F,repair,seal,Seal flush conductivity matched condensate spec,4
2027-03-04,PU-203C,inspect,bearing,Thrust bearing temperature trending 3 degC high,6
2027-03-04,PU-205D,replace,general,Plan 11 flush restriction orifice cleaned,12
2027-03-04,PU-209H,replace,bearing,Bearing housing vibration dropped below 3 mm/s,1
2027-03-04,PU-211K,calibrate,bearing,Coupling hub fretting cleaned and anti-seize applied,2
2027-03-11,PU-202B,replace,suction strainer,Bearing oil topped up with ISO 46 VG,1
2027-03-11,PU-210J,inspect,bearing,Split bearing shells inspected for wipe marks,6
2027-03-11,PU-212L,clean,suction strainer,Motor current signature analysis (no bar defects),0
2027-03-12,PU-204A,calibrate,lubricant,Motor insulation DAR ratio recorded 1.6 (acceptable),2
2027-03-15,PU-211K,replace,bearing,Bearing pad thermocouples re-zeroed,12
2027-03-16,PU-201A,inspect,alignment,Seal Plan 32 flow verified against refinery spec,6
2027-03-21,PU-203C,replace,coupling,Thrust bearing temperature trending 3 degC high,6
2027-03-21,PU-208G,calibrate,alignment,Lube oil varnish potential measured (MPC=18),2
2027-03-22,PU-209H,replace,impeller,Impeller vane leading edge blended to remove pitting,6
2027-03-23,PU-212L,clean,suction strainer,Seal pot nitrogen header leak repaired,0
2027-03-25,PU-207F,inspect,bearing,Seal flush conductivity matched condensate spec,12
2027-03-26,PU-204A,calibrate,motor,Motor insulation DAR ratio recorded 1.6 (acceptable),12
2027-03-26,PU-211K,inspect,seal,"API 610 route found axial vibration high, filter added",2
2027-03-27,PU-206E,inspect,suction strainer,Spacer coupling bolts retorqued to 95 ft-lbf,6
2027-03-30,PU-205D,replace,seal,Bearing housing desiccant breather replaced,8
2027-03-31,PU-202B,calibrate,bearing,Bearing oil topped up with ISO 46 VG,4
2027-04-01,PU-201A,inspect,impeller,Shaft alignment checked after turbine outage,4
2027-04-04,PU-211K,calibrate,seal,Seal plan 53A bladder charged to 30 psig,8
2027-04-04,PU-212L,inspect,motor,Strainer pulled due to high fines load,2
2027-04-07,PU-203C,replace,seal,Thrust bearing temperature trending 3 degC high,4
2027-04-08,PU-204A,inspect,motor,Motor insulation DAR ratio recorded 1.6 (acceptable),6
2027-04-11,PU-208G,calibrate,impeller,Alignment check after suction header supports fixed,0
2027-04-12,PU-209H,repair,seal,Impeller vane leading edge blended to remove pitting,6
2027-04-14,PU-210J,inspect,lubricant,Operator completed lube round (ISO 22 synthetic),12
2027-04-15,PU-201A,clean,impeller,Lubricant sample sent to Chevron ASTM D4378 panel,12
2027-04-15,PU-207F,repair,bearing,Seal flush conductivity matched condensate spec,8
2027-04-17,PU-212L,calibrate,suction strainer,Motor current signature analysis (no bar defects),6
2027-04-19,PU-211K,repair,seal,"API 610 route found axial vibration high, filter added",6
2027-04-20,PU-202B,inspect,bearing,Suction basket flushed after filter DP alarm,6
2027-04-22,PU-204A,inspect,motor,Thermography noted 4 degC delta on DE bearing,8
