timestamp,pump_id,flow_rate_m3h,pressure_inlet_bar,pressure_outlet_bar,temperature_c,vibration_x_mms,vibration_y_mms,vibration_z_mms,current_a,voltage_v,power_consumption_kw,rpm,status
2024-10-15 00:00:00,PUMP_001,82.95,2.48,8.7,73.5,0.74,0.74,0.73,20.8,387.1,10.88,1426.0,Fault
2024-10-15 00:00:00,PUMP_002,122.38,2.09,6.29,72.0,0.8,0.79,0.77,28.3,382.9,15.57,1443.0,Running
2024-10-15 00:00:00,PUMP_003,68.4,2.1,12.02,73.5,0.73,0.82,0.75,15.2,389.7,7.37,1465.0,Running
2024-10-15 00:00:00,PUMP_004,100.78,2.34,7.46,71.1,0.8,0.73,0.87,24.1,383.1,12.64,1451.0,Running
2024-10-15 00:00:00,PUMP_005,50.85,2.48,4.62,75.2,0.86,0.82,0.87,10.7,380.5,5.71,1441.0,Running
2024-10-15 00:30:00,PUMP_001,82.08,2.41,8.38,71.9,0.81,0.74,0.85,20.1,387.7,10.05,1435.0,Running
2024-10-15 00:30:00,PUMP_002,129.97,2.35,6.65,74.4,0.73,0.78,0.74,30.0,383.3,15.96,1428.0,Running
2024-10-15 00:30:00,PUMP_003,65.34,2.36,12.17,74.9,0.8,0.74,0.83,15.3,387.7,7.9,1450.0,Running
2024-10-15 00:30:00,PUMP_004,104.24,2.01,7.21,70.7,0.82,0.77,0.8,24.8,384.1,13.48,1463.0,Running
2024-10-15 00:30:00,PUMP_005,50.28,2.14,4.35,75.1,0.85,0.82,0.86,11.4,388.9,6.13,1452.0,Running
2024-10-15 01:00:00,PUMP_001,97.01,2.16,8.17,72.8,0.79,0.85,0.86,21.0,384.2,11.09,1436.0,Running
2024-10-15 01:00:00,PUMP_002,137.7,2.47,6.39,74.3,0.83,0.78,0.88,32.7,385.0,17.9,1440.0,Running
2024-10-15 01:00:00,PUMP_003,70.46,2.3,12.0,71.9,0.76,0.87,0.76,15.8,389.9,8.25,1437.0,Running
2024-10-15 01:00:00,PUMP_004,119.7,2.12,7.67,73.5,0.82,0.82,0.81,26.5,383.2,13.8,1434.0,Running
