failure_id,pump_id,failure_date,failure_type,root_cause,severity,repair_cost_usd,downtime_hours,warning_signs,resolved_date,failure_mode,mtbf_hours
FAIL_001,PUMP_001,2024-07-22,Bearing_Failure,Inadequate_Lubrication,High,1500.00,12.0,High_Vibration;Temperature_Rise;Noise_Increase,2024-07-24,Progressive_Wear,8760
FAIL_002,PUMP_002,2024-05-15,Impeller_Damage,Cavitation,Medium,800.00,6.0,Flow_Reduction;Noise_Increase;Pressure_Fluctuation,2024-05-16,Erosion_Damage,12500
FAIL_003,PUMP_003,2024-09-08,Seal_Leak,Wear_and_Tear,Low,450.00,3.0,Minor_Leakage;Pressure_Drop,2024-09-08,Gradual_Degradation,15600
FAIL_004,PUMP_004,2024-06-30,Motor_Overheating,Blocked_Cooling_Fan,Medium,920.00,8.0,High_Temperature;Current_Spike;Thermal_Trips,2024-07-01,Thermal_Failure,9800
FAIL_005,PUMP_005,2024-08-12,Coupling_Failure,Misalignment,Medium,380.00,4.0,Vibration_Increase;Shaft_Movement,2024-08-12,Mechanical_Failure,11200
FAIL_006,PUMP_007,2024-04-20,Valve_Stuck,Debris_Accumulation,Low,225.00,2.0,Flow_Restriction;Pressure_Build_up,2024-04-20,Blockage,6500
FAIL_007,PUMP_009,2024-07-10,Cable_Damage,Water_Ingress,High,1850.00,24.0,Earth_Fault;Current_Leakage;Motor_Trips,2024-07-12,Insulation_Breakdown,14300
FAIL_008,PUMP_006,2024-03-15,Controller_Fault,Software_Bug,Medium,650.00,5.0,Erratic_Operation;Alarm_Messages,2024-03-16,Electronic_Failure,7800
FAIL_009,PUMP_008,2024-09-05,Shaft_Crack,Fatigue_Stress,High,1200.00,16.0,Vibration_Increase;Noise;Performance_Drop,2024-09-07,Material_Fatigue,13400
FAIL_010,PUMP_010,2024-02-28,Suction_Blockage,Foreign_Object,Low,180.00,1.5,Flow_Reduction;Cavitation_Noise,2024-02-28,Obstruction,5200
FAIL_011,PUMP_002,2024-08-25,Power_Supply_Failure,Voltage_Spike,Medium,750.00,6.0,Motor_Trips;Electrical_Faults,2024-08-26,Electrical_Damage,10900
FAIL_012,PUMP_003,2024-06-18,Pipe_Burst,Water_Hammer,High,2100.00,20.0,Pressure_Spikes;Noise;Leakage,2024-06-20,Pressure_Failure,8900
FAIL_013,PUMP_001,2024-04-05,Sensor_Failure,Calibration_Drift,Low,120.00,0.5,Incorrect_Readings;Control_Issues,2024-04-05,Measurement_Error,4300
FAIL_014,PUMP_004,2024-09-18,Gasket_Leak,Age_Degradation,Low,85.00,1.0,Minor_Leakage,2024-09-18,Material_Aging,16800
FAIL_015,PUMP_005,2024-07-08,Strainer_Clog,Sediment_Build_up,Low,95.00,1.5,Flow_Reduction;Pressure_Drop,2024-07-08,Filtration_Issue,3600
