pump_id,pump_type,manufacturer,model,installation_date,rated_power_kw,rated_flow_m3h,rated_head_m,location,criticality_level,serial_number,warranty_expiry,last_overhaul
PUMP_001,Centrifugal,Grundfos,CR64-1-30,2020-01-15,15.0,120.0,85.0,Building_A_Basement,High,GR2001501,2025-01-15,2023-01-15
PUMP_002,Submersible,Flygt,NP3127-HT,2019-06-20,22.0,180.0,65.0,Well_Station_1,Critical,FL1906201,2024-06-20,2022-06-20
PUMP_003,Positive_Displacement,Wilo,Helix_V604,2021-03-10,11.0,95.0,120.0,Cooling_Tower,Medium,WI2103101,2026-03-10,2024-03-10
PUMP_004,Centrifugal,KSB,Etanorm_G080,2018-11-05,18.5,150.0,75.0,Main_Booster_Station,High,KS1811051,2023-11-05,2021-11-05
PUMP_005,Submersible,Pentair,Myers_MW,2020-08-12,8.5,75.0,45.0,Sump_Pit_B,Medium,PE2008121,2025-08-12,2023-08-12
PUMP_006,Centrifugal,Grundfos,NBG150,2022-02-28,25.0,200.0,90.0,Fire_Pump_Station,Critical,GR2202281,2027-02-28,2024-02-28
PUMP_007,Positive_Displacement,Mono,C21-6,2019-12-18,12.5,85.0,110.0,Chemical_Feed,High,MO1912181,2024-12-18,2022-12-18
PUMP_008,Centrifugal,ITT_Goulds,3196_MT,2021-07-22,20.0,160.0,80.0,Circulation_Loop,Medium,IT2107221,2026-07-22,2024-07-22
PUMP_009,Submersible,Franklin_Electric,SubDrive,2020-04-30,14.0,110.0,55.0,Well_Station_2,High,FE2004301,2025-04-30,2023-04-30
PUMP_010,Centrifugal,Flowserve,Mark_3,2018-09-14,30.0,250.0,100.0,Primary_Feed,Critical,FS1809141,2023-09-14,2021-09-14
